deviceName,deviceType,ipAddress,productFamily,modelNr,serialNr,softwareVersion,systemTime,upTime
OPMCPL4WS001.network.providence.org,Cisco 3750 Stackable Switches,10.150.16.71,Switches and Hubs,WS-C3750-24PS-S,FDO1227Z2AW,12.2(55)SE1,2021-02-16T07:39:34.000Z,166533928746
CA-SPMC-WBDG-R103-S02.network.providence.org,Cisco 3750 Stackable Switches,10.15.126.246,Switches and Hubs,WS-C3750G-12S-S,FDO1452X1L1,12.2(55)SE1,2021-02-16T07:41:11.000Z,307540706877
AKAKAMCNT-C3030-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.21.138.252,Switches and Hubs,C9300-48P,FCW2150G03D,16.6.6,2021-02-16T07:35:35.000Z,39233857812
WCOT-PAS-S001.network.providence.org,Cisco 3750 Stackable Switches,10.232.175.253,Switches and Hubs,WS-C3750V2-48PS-S,FDO1632X2KG,12.2(55)SE1,2021-02-16T07:35:35.000Z,28149014395
OPMCPL1WS001.network.providence.org,Cisco 3750 Stackable Switches,10.150.16.82,Switches and Hubs,WS-C3750-48PS-S,CAT1034NGU0,12.2(55)SE1,2021-02-16T07:39:34.000Z,8782947600
ORSTVMCNT-MOB45-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.242.240.27,Switches and Hubs,C9300-48P,FCW2210G05Y,16.12.4,2021-02-16T07:39:34.000Z,2017620164
AAMC-G1161-S001.network.providence.org,Cisco 3750 Stackable Switches,10.16.43.41,Switches and Hubs,WS-C3750-48PS-S,FDO1305Y0E8,12.2(55)SE5,2021-02-16T07:35:35.000Z,232117317202
OR-SVMC-MAIN-6W10-S01.network.providence.org,Cisco Catalyst38xx stack-able ethernet switch,10.242.255.10,Switches and Hubs,WS-C3850-48F-S,FOC2102U17C,03.06.05E,2021-02-16T07:39:34.000Z,6933870048
ORPDXNP-011A-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.244.162.19,Switches and Hubs,C9300-48P,FCW2145L0JE,16.6.2,2021-02-16T07:39:34.000Z,78414422562
CACYNMBNT-01MDF-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.8.185.2,Switches and Hubs,C9300-48P,FOC2229Q06M,16.6.2,2021-02-16T07:39:34.000Z,2288094211
AK-AKMC-BLDD-1109-S01.network.providence.org,Cisco 3750 Stackable Switches,10.19.240.21,Switches and Hubs,WS-C3750-48PS-S,FDO1303X1FW,12.2(55)SE5,2021-02-16T07:35:35.000Z,79499974580
SCRDC-LAS-IDF4-01.stjoe.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.197.32.41,Switches and Hubs,WS-C2960S-48FPD-L,FOC1438Z4A7,12.2(55)SE2,2021-02-16T07:44:31.000Z,148537403890
QVMMC-VSW-PAV-235-01.stjoe.org,Cisco VG224 Voice Gateway,10.208.136.7,Voice and Telephony,VG224,FTX1730AHQ5,15.1(4)M10,2021-02-16T07:44:31.000Z,34417418601
SJEMC-CASW-IDFH-01.stjoe.org,Cisco Catalyst 4507R-E Switch,10.210.15.31,Switches and Hubs,WS-C4507R-E,FOX1436G39F,12.2(50)SG3,2021-02-16T07:44:31.000Z,83606037041
AAMC-PPB2-S002.network.providence.org,Cisco Catalyst 3560-48PS Switch,10.19.222.18,Switches and Hubs,WS-C3560-48PS-S,FDO1121X03E,12.2(55)SE3,2021-02-16T07:35:35.000Z,339452075
AAMC-D2214-S002.network.providence.org,Cisco 3750 Stackable Switches,10.21.138.35,Switches and Hubs,WS-C3750V2-48PS-S,FDO1503X316,12.2(55)SE5,2021-02-16T07:35:35.000Z,29960621028
AAMC-DST3-S002,Cisco Catalyst 3560-48PS Switch,10.19.240.11,Switches and Hubs,WS-C3560-48PS-S,FDO1203Y88M,12.2(55)SE10,2021-02-16T07:35:35.000Z,46379271149
OPSH-1B-S002.network.providence.org,Cisco 3750 Stackable Switches,10.243.2.22,Switches and Hubs,WS-C3750V2-48PS-S,FDO1710Y36R,12.2(55)SE1,2021-02-16T07:39:34.000Z,43207839345
WRDC-3E-S001.network.providence.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.230.99.48,Switches and Hubs,WS-C2960XR-48FPD-I,FDO2011B10C,15.2(4)E6,2021-02-16T07:41:11.000Z,51857169237
WARCSLCNT-01MDF-SW01.network.providence.org,Cisco Catalyst 9300 Switch,10.236.215.1,Switches and Hubs,C9300-48P,FOC2237U04Z,16.8.1a,2021-02-16T07:41:11.000Z,2614565704
WARCSLCNT-01MDF-SW02.network.providence.org,Cisco Catalyst 9300 Switch,10.236.215.3,Switches and Hubs,C9300-48P,FCW2236C0BD,16.8.1a,2021-02-16T07:41:11.000Z,2640237057
WARNTS1NT-0003E-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.230.110.105,Switches and Hubs,C9300-48P,FOC2237Z04V,16.8.1a,2021-02-16T07:41:11.000Z,45545763732
WAVALOPNT-E1-W01.network.providence.org,Cisco Catalyst 9300 Switch,10.230.37.52,Switches and Hubs,C9300-48P,FCW2237S026,16.8.1a,2021-02-16T07:41:11.000Z,1055557843
OR-POPK-BDG2-003E-S01.network.providence.org,Cisco 3750 Stackable Switches,10.150.16.26,Switches and Hubs,WS-C3750V2-48PS-S,FDO1350Z0C0,12.2(55)SE1,2021-02-16T07:39:34.000Z,37009165
WASHRWHNT-L1O11-AS118.network.providence.org,Cisco Catalyst 9300 Switch,10.106.255.118,Switches and Hubs,C9300-48P,FOC2229Z06V,16.8.1a,2021-02-16T07:41:11.000Z,36746811725
WASTPMCNT-EGP1B-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.236.99.131,Switches and Hubs,C9300-48P,FCW2234D0JJ,16.6.2,2021-02-16T07:41:11.000Z,38332447868
WASTPMPNT-0002A-AS10.network.providence.org,Cisco Catalyst38xx stack-able ethernet switch,10.236.209.1,Switches and Hubs,WS-C3850-48P,FOC2007U00S,03.06.04.E,2021-02-16T07:41:11.000Z,32872037870
OPMCGRO-S001.network.providence.org,Cisco 3750 Stackable Switches,10.150.16.69,Switches and Hubs,WS-C3750-48TS-S,FDO1235Y1V5,12.2(55)SE1,2021-02-16T07:39:34.000Z,45259510
OCTW-1E-S001.network.providence.org,Cisco 3750 Stackable Switches,10.253.20.14,Switches and Hubs,WS-C3750-48TS-S,FDO1217Z1P4,12.2(55)SE1,2021-02-16T07:39:34.000Z,51713793
AAMC-FB086-S001.network.providence.org,Cisco 3750 Stackable Switches,10.19.36.3,Switches and Hubs,WS-C3750V2-48PS-S,FDO1539X1DA,12.2(55)SE5,2021-02-16T07:35:35.000Z,47390789982
OPSH-1B-S001.network.providence.org,Cisco 3750 Stackable Switches,10.253.87.10,Switches and Hubs,WS-C3750-48PS-S,CAT0949R5RY,12.2(55)SE1,2021-02-16T07:39:34.000Z,13911358411
OPSH-2E-S001.network.providence.org,Cisco 3750 Stackable Switches,10.253.87.11,Switches and Hubs,WS-C3750-48PS-S,CAT1126RGDE,12.2(55)SE1,2021-02-16T07:39:34.000Z,311293645064
WPACLLDCWC02,Cisco 5508 Wireless LAN Controller,10.233.206.13,Wireless Controller,AIR-CT5508-K9,FCW1624L030,8.5.140.0,2021-02-16T07:37:39.000Z,18724336615
WSPH-DC-WC01,Cisco 5508 Wireless LAN Controller,10.236.99.215,Wireless Controller,AIR-CT5508-K9,FCW1624L03Q,8.5.140.0,2021-02-16T07:37:39.000Z,19266047600
HIE-2-4510-1.Swedish.org,Cisco Catalyst 4510R plus E Switch,10.217.255.17,Switches and Hubs,WS-C4510R+E,FOX1504GC0Y,03.02.02.SG,2021-02-16T07:39:34.000Z,307894574701
OPMHSURGS001.network.providence.org,Cisco 3750 Stackable Switches,10.247.2.253,Switches and Hubs,WS-C3750-48PS-S,CAT1126RGDY,12.2(55)SE1,2021-02-16T07:38:05.000Z,152463298565
,,10.217.255.4,,,,,2021-02-16T07:39:34.000Z,
OPMHMO1-S001.network.providence.org,Cisco 3750 Stackable Switches,10.247.2.224,Switches and Hubs,WS-C3750-48PS-S,CAT1032ZH5C,12.2(55)SE1,2021-02-16T07:38:05.000Z,190597756
OMMC1403S001.network.providence.org,Cisco 3750 Stackable Switches,10.248.2.27,Switches and Hubs,WS-C3750V2-48PS-S,FDO1801Y1PM,12.2(55)SE1,2021-02-16T07:38:05.000Z,206913197566
SJOPA-LAS-IDFPav3-01.stjoe.org,Cisco 3750 Stackable Switches,10.193.2.140,Switches and Hubs,WS-C3750X-48PF-L,FDO1750R11H,15.0(2)SE6,2021-02-16T07:44:31.000Z,178790816964
SRMMC-CASW-1CE-01.stjoe.org,Cisco Catalyst 6509 Switch,156.72.59.7,Switches and Hubs,WS-C6509-E,SMG1202N0N6,12.2(18)SXF12a,2021-02-16T07:44:31.000Z,401988894609
CA-HCMC-ODCT-001A-S01.network.providence.org,Cisco 3750 Stackable Switches,10.4.90.37,Switches and Hubs,WS-C3750-48PS-S,CAT1048NHA5,12.2(55)SE1,2021-02-16T07:38:05.000Z,10687060051
CA-HCMC-HCPL-003A-S01.network.providence.org,Cisco Catalyst 9300 Switch,10.4.90.49,Switches and Hubs,C9300-48P,FOC2151Q05L,16.6.2,2021-02-16T07:38:05.000Z,30194898229
CA-CONO-FAMG-002A-S01.network.providence.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.157.255.196,Switches and Hubs,WS-C2960X-48FPD-L,FCW2046B3A1,15.2(2)E5,2021-02-16T07:41:11.000Z,18950809379
WASTPMCNT-0002A-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.236.99.34,Switches and Hubs,C9300-48P,FOC2133Z08R,16.6.2,2021-02-16T07:36:43.000Z,74189819194
WPCH-01C-S001.network.providence.org,Cisco 3750 Stackable Switches,10.239.99.50,Switches and Hubs,WS-C3750V2-48PS-S,FDO1644Y2XS,12.2(55)SE1,2021-02-16T07:41:11.000Z,60436345758
AKAKAMCNT-CB055-AS02.network.providence.org,Cisco Catalyst 9300 Switch,10.21.138.52,Switches and Hubs,C9300-48P,FCW2130G0E6,16.6.6,2021-02-16T07:35:35.000Z,39234053116
WALACEYNT-01MDF-SW01.network.providence.org,Cisco Catalyst 9300 Switch,10.236.204.1,Switches and Hubs,C9300-48P,FOC2234Q087,16.8.1a,2021-02-16T07:41:11.000Z,44585657327
WSBY7B5S001.network.providence.org,Cisco Catalyst 2960-24-S Switch,10.227.114.125,Switches and Hubs,WS-C2960-24-S,FOC1414W3WP,15.0(2)SE11,2021-02-16T07:35:35.000Z,33652378660
WMCH-1A-S003.network.providence.org,Cisco Catalyst 4500 Virtual Switching System,10.108.54.27,Switches and Hubs,WS-C4500X-32,JAE1929046M,03.11.01.E,2021-02-16T07:35:35.000Z,163843489030
ORMFRMCNT-PAV3-R001-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.150.20.27,Switches and Hubs,C9300-48P,FCW2234C0PA,16.6.5,2021-02-16T07:41:11.000Z,54995911529
KC-1351Fowler-2960-3.kmc.kadlec.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.111.82.2,Switches and Hubs,WS-C2960XR-48FPD-I,FDO2029B1JF,15.2(2)E5,2021-02-16T07:35:35.000Z,111930723108
CAMHRMCNT-000BB-AS01.stjoe.org,Cisco Catalyst 9300 Switch,10.187.4.100,Switches and Hubs,C9300-48U,FOC2429L8KY,16.12.3a,2021-02-16T07:47:38.000Z,3053274577
CASMAMC-IDF1D001-AS03.stjoe.org,Cisco Catalyst 9300 Switch,10.192.1.34,Switches and Hubs,C9300-48P,FCW2237C0TT,16.6.4,2021-02-16T07:47:38.000Z,893863618
WAKWKEDNT-01MDF1-AS01.kmc.kadlec.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.111.128.2,Switches and Hubs,WS-C2960S-48TS-L,FOC1712W0M7,15.2(1)E1,2021-02-16T07:35:35.000Z,213979661306
CALCMACNT-0001A-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.13.37.253,Switches and Hubs,C9300-48P,FCW2222G0LV,16.9.4,2021-02-16T07:41:11.000Z,26990457709
KMC-RMC-2-2960X-1.kmc.kadlec.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.110.163.2,Switches and Hubs,WS-C2960X-48LPS-L,FCW1951A47U,15.2(2)E6,2021-02-16T07:35:35.000Z,72001099104
WASHRDBNT-W7IDE-AS250.network.providence.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.106.255.250,Switches and Hubs,WS-C2960X-48FPD-L,FCW2108B06V,15.2(2)E6,2021-02-16T07:35:35.000Z,934563144
AKCARESNT-1122-AS03.network.providence.org,Cisco Catalyst 9300 Switch,10.20.59.131,Switches and Hubs,C9300-48P,FOC2244Z0MD,16.6.6,2021-02-16T07:35:35.000Z,41572020076
CA-SPMC-EBDG-001N-S02.network.providence.org,Cisco Catalyst 9300 Switch,10.14.90.33,Switches and Hubs,C9300-48P,FOC2250Q0XK,16.9.4,2021-02-16T07:41:11.000Z,28921933779
OPMCPL5WS001.network.providence.org,Cisco 3750 Stackable Switches,10.150.16.72,Switches and Hubs,WS-C3750-24PS-S,FDO1232Z0GG,12.2(55)SE1,2021-02-16T07:39:34.000Z,118593312973
CA-SPMC-WBDG-R103-S02.network.providence.org,Cisco 3750 Stackable Switches,10.15.126.246,Switches and Hubs,WS-C3750G-12S-S,FDO1452X1L0,12.2(55)SE1,2021-02-16T07:41:11.000Z,307540706877
WCOT-B2A-S001.network.providence.org,Cisco 3750 Stackable Switches,10.234.99.4,Switches and Hubs,WS-C3750X-48PF-L,FDO1440P0X3,12.2(55)SE10,2021-02-16T07:35:35.000Z,22409358024
WCOT-PAS-S001.network.providence.org,Cisco 3750 Stackable Switches,10.232.175.253,Switches and Hubs,WS-C3750-48TS-S,FDO1217Z1QD,12.2(55)SE1,2021-02-16T07:35:35.000Z,28149014395
OPMCPL1WS001.network.providence.org,Cisco 3750 Stackable Switches,10.150.16.82,Switches and Hubs,WS-C3750-48PS-S,CAT1126RGEF,12.2(55)SE1,2021-02-16T07:39:34.000Z,8782947600
ORSTVMCNT-MOB45-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.242.240.27,Switches and Hubs,C9300-48P,FCW2132G0V2,16.12.4,2021-02-16T07:39:34.000Z,2017620164
AAMC-G1161-S001.network.providence.org,Cisco 3750 Stackable Switches,10.16.43.41,Switches and Hubs,WS-C3750-48PS-S,FDO1318X1DU,12.2(55)SE5,2021-02-16T07:35:35.000Z,232117317202
ORSTVMC-000LLDC1-WR01.network.providence.org,Cisco 4451 Series Integrated Services Router,10.242.2.10,Routers,ISR4451-X/K9,FJC2136D0D2,16.12.4,2021-02-16T07:39:34.000Z,6569841745
ORPDXNP-011A-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.244.162.19,Switches and Hubs,C9300-48P,FCW2218E0BR,16.6.2,2021-02-16T07:39:34.000Z,78414422562
CACYNMBNT-01MDF-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.8.185.2,Switches and Hubs,C9300-48P,FCW2132G136,16.6.2,2021-02-16T07:39:34.000Z,2288094211
AK-AKMC-BLDD-1109-S01.network.providence.org,Cisco 3750 Stackable Switches,10.19.240.21,Switches and Hubs,WS-C3750-48PS-S,FDO1303X0S8,12.2(55)SE5,2021-02-16T07:35:35.000Z,79499974580
SJEMC-CASW-IDFH-02.stjoe.org,"Cisco Catalyst 3560E-24PD-E,S Switch",10.210.15.32,Switches and Hubs,WS-C3560E-24PD-S,FDO1438Z0YU,12.2(52)SE,2021-02-16T07:44:31.000Z,279907818742
,,10.244.16.38,,,,,2021-02-16T07:44:31.000Z,
MHRMC-LAS-PAV5-01.stjoe.org,Cisco 3750 Stackable Switches,10.195.1.210,Switches and Hubs,WS-C3750X-48PF-L,FDO1937F2V3,12.2(55)SE10,2021-02-16T07:44:31.000Z,151840732842
AAMC-PPB3-S002.network.providence.org,Cisco Catalyst 3560-48PS Switch,10.19.222.13,Switches and Hubs,WS-C3560-48PS-S,CAT1043NJCP,12.2(55)SE7,2021-02-16T07:35:35.000Z,335861909
AAMC-DST2-S002.network.providence.org,Cisco Catalyst 3560-48PS Switch,10.19.240.8,Switches and Hubs,WS-C3560-48PS-S,CAT1043NJD2,12.2(55)SE5,2021-02-16T07:35:35.000Z,4795165784
AAMC-DST4-S001.network.providence.org,Cisco Catalyst 3560-48PS Switch,10.19.240.13,Switches and Hubs,WS-C3560-48PS-S,CAT1103ZLCV,12.2(55)SE7,2021-02-16T07:35:35.000Z,78035063905
OPSH-1B-S002.network.providence.org,Cisco 3750 Stackable Switches,10.243.2.22,Switches and Hubs,WS-C3750V2-48PS-S,FDO1716Y16F,12.2(55)SE1,2021-02-16T07:39:34.000Z,43207839345
WRDC-3E-S001.network.providence.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.230.99.48,Switches and Hubs,WS-C2960XR-48FPD-I,FDO2010B19Z,15.2(4)E6,2021-02-16T07:41:11.000Z,51857169237
WARCSLCNT-01MDF-SW01.network.providence.org,Cisco Catalyst 9300 Switch,10.236.215.1,Switches and Hubs,C9300-48P,FOC2234Q02N,16.8.1a,2021-02-16T07:41:11.000Z,2614565704
WARCSLCNT-01MDF-SW02.network.providence.org,Cisco Catalyst 9300 Switch,10.236.215.3,Switches and Hubs,C9300-48P,FCW2234L0G8,16.8.1a,2021-02-16T07:41:11.000Z,2640237057
WARNTS1NT-0003W-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.230.110.106,Switches and Hubs,C9300-48P,FOC2236Q0K1,16.8.1a,2021-02-16T07:41:11.000Z,56208045512
WAVALOPNT-E2-W01.network.providence.org,Cisco Catalyst 9300 Switch,10.230.37.53,Switches and Hubs,C9300-48P,FOC2237U04R,16.8.1a,2021-02-16T07:41:11.000Z,1055499898
OR-POPK-BDG2-003E-S01.network.providence.org,Cisco 3750 Stackable Switches,10.150.16.26,Switches and Hubs,WS-C3750V2-48PS-S,FDO1350Z0CF,12.2(55)SE1,2021-02-16T07:39:34.000Z,37009165
WASHRWHNT-L1O12-AS164.network.providence.org,Cisco Catalyst 9300 Switch,10.106.255.164,Switches and Hubs,C9300-48P,FCW2229G046,16.8.1a,2021-02-16T07:41:11.000Z,36747564948
WASTPMCNT-EGP1B-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.236.99.131,Switches and Hubs,C9300-48P,FCW2234E01H,16.6.2,2021-02-16T07:41:11.000Z,38332447868
ORSTVMCNT-0002W-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.242.2.12,Switches and Hubs,C9300-48P,FCW2214G070,16.6.2,2021-02-16T07:39:34.000Z,10697704757
OPMCPL3WS001.network.providence.org,Cisco 3750 Stackable Switches,10.150.16.70,Switches and Hubs,WS-C3750-48PS-S,FDO1244Y2QV,12.2(55)SE1,2021-02-16T07:39:34.000Z,18959110
OCTW-1E-S001.network.providence.org,Cisco 3750 Stackable Switches,10.253.20.14,Switches and Hubs,WS-C3750-48TS-S,CAT1019Z0YL,12.2(55)SE1,2021-02-16T07:39:34.000Z,51713793
AAMC-FB086-S003.network.providence.org,Cisco 3750 Stackable Switches,10.19.36.6,Switches and Hubs,WS-C3750-48PS-S,CAT1116NH5K,12.2(55)SE5,2021-02-16T07:35:35.000Z,44785293913
OPSH-1B-S001.network.providence.org,Cisco 3750 Stackable Switches,10.253.87.10,Switches and Hubs,WS-C3750-48PS-S,CAT0949R5RM,12.2(55)SE1,2021-02-16T07:39:34.000Z,13911358411
OPSH-2E-S001.network.providence.org,Cisco 3750 Stackable Switches,10.253.87.11,Switches and Hubs,WS-C3750-48PS-S,CAT1126RGDR,12.2(55)SE1,2021-02-16T07:39:34.000Z,311293645064
WHFH-BMT234-WC02,Cisco 5508 Wireless LAN Controller,10.103.255.6,Wireless Controller,AIR-CT5508-K9,FCW1624L03J,8.5.140.0,2021-02-16T07:37:39.000Z,24049884660
WVOPLAB5508-12,Cisco 5508 Wireless LAN Controller,10.230.37.115,Wireless Controller,AIR-CT5508-K9,FCW1745L069,8.5.140.0,2021-02-16T07:37:39.000Z,25709480492
HIE-2-4510-2.Swedish.org,Cisco Catalyst 4510R plus E Switch,10.217.255.18,Switches and Hubs,WS-C4510R+E,FXS1807Q7A2,03.03.00.XO,2021-02-16T07:39:34.000Z,200297229326
OPMHSURGS001.network.providence.org,Cisco 3750 Stackable Switches,10.247.2.253,Switches and Hubs,WS-C3750-48PS-S,CAT1035ZG01,12.2(55)SE1,2021-02-16T07:38:05.000Z,152463298565
,,10.217.255.6,,,,,2021-02-16T07:39:34.000Z,
OHJSMAINS001.network.providence.org,Cisco 3750 Stackable Switches,10.249.254.34,Switches and Hubs,WS-C3750V2-48PS-S,FDO1451X0BG,12.2(55)SE1,2021-02-16T07:38:05.000Z,16174974791
OMMC1403S001.network.providence.org,Cisco 3750 Stackable Switches,10.248.2.27,Switches and Hubs,WS-C3750-48PS-S,FDO1212Z19M,12.2(55)SE1,2021-02-16T07:38:05.000Z,206913197566
SJOPA-LAS-IDFPav3-01.stjoe.org,Cisco 3750 Stackable Switches,10.193.2.140,Switches and Hubs,WS-C3750X-48PF-L,FDO1750R130,15.0(2)SE6,2021-02-16T07:44:31.000Z,178790816964
SRMOD-LAS-MOBG-04.stjoe.org,Cisco 3750 Stackable Switches,10.209.3.46,Switches and Hubs,WS-C3750X-48PF-L,FDO1622V21L,15.0(2)SE6,2021-02-16T07:44:31.000Z,44473372018
CA-HCMC-HCPN-003E-E01.network.providence.org,Cisco 3750 Stackable Switches,10.4.90.51,Switches and Hubs,WS-C3750-24PS-S,CAT1013R3D8,12.2(55)SE1,2021-02-16T07:38:05.000Z,12441406778
CA-HCMC-HCPL-003A-S01.network.providence.org,Cisco Catalyst 9300 Switch,10.4.90.49,Switches and Hubs,C9300-48P,FOC2151Q06P,16.6.2,2021-02-16T07:38:05.000Z,30194898229
CA-CONO-FAMG-002A-S01.network.providence.org,Cisco Catalyst 29xx Stack-able Ethernet Switch,10.157.255.196,Switches and Hubs,WS-C2960X-48FPD-L,FCW2046B3B8,15.2(2)E5,2021-02-16T07:41:11.000Z,18950809379
WASTPMCNT-0002A-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.236.99.34,Switches and Hubs,C9300-48P,FCW2136G0AR,16.6.2,2021-02-16T07:36:43.000Z,74189819194
WPCH-01C-S001.network.providence.org,Cisco 3750 Stackable Switches,10.239.99.50,Switches and Hubs,WS-C3750V2-48PS-S,FDO1530X1CR,12.2(55)SE1,2021-02-16T07:41:11.000Z,60436345758
AKAKAMCNT-CB055-AS02.network.providence.org,Cisco Catalyst 9300 Switch,10.21.138.52,Switches and Hubs,C9300-48P,FCW2130L0GX,16.6.6,2021-02-16T07:35:35.000Z,39234053116
WALACEYNT-01MDF-WR01.network.providence.org,Cisco 4331 Integrated Services Router,10.236.204.5,Routers,ISR4331/K9,FLM2228V0HR,16.12.4,2021-02-16T07:41:11.000Z,6037079429
WSBY7B8S001.network.providence.org,Cisco Catalyst 2960-24-S Switch,10.227.114.131,Switches and Hubs,WS-C2960-24-S,FOC1414W3W5,15.0(2)SE11,2021-02-16T07:35:35.000Z,33652140560
WMCH-1A-S003.network.providence.org,Cisco Catalyst 4500 Virtual Switching System,10.108.54.27,Switches and Hubs,WS-C4500X-32,JAE1929044T,03.11.01.E,2021-02-16T07:35:35.000Z,163843489030
ORMFRMCNT-PAV3-R001-AS01.network.providence.org,Cisco Catalyst 9300 Switch,10.150.20.27,Switches and Hubs,C9300-48P,FCW2231D0WS,16.6.5,2021-02-16T07:41:11.000Z,54995911529
